DonViId,TenDonVi,DiaChi,Website,MoTa,ChuongTrinh,ChuSoHuu,LaChiNhanh,TinhTrang,GVVN,GVNN,HoatDong,LoaiQuyetDinh,QuyetDinhSo
520,"Công ty TNHH Tư vấn Du học Song Nguyên
","R4-92 Hưng Gia 2, Phú Mỹ Hưng, Phường Tân Phong Quận 7 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1012
521,"Doanh nghiệp Tư nhân Dịch vụ - Tư vấn Phương Nguyên
","Lầu 7, Số 8, Nguyễn Huệ, F. Bến Nghé Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1070
522,"Công ty CP Tư vấn Giáo dục và Thương mại Tân Đại Dương
","Tầng 3, số 148/1, Trần Quang Khải, phường Tân Định Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1138
523,"Chi nhánh Công ty CP TNHH Tư vấn Du học và Dịch Thuật Đức Anh - Trung tâm Tư vấn Du học Đức Anh thuộc Công ty TNHH Tư vấn Du học và Dịch thuật Đức Anh
","420 Nguyễn Thị Minh Khai, Phường 5 Quận 3 Thành Phố Hồ Chí Minh","http://ducanhduhoc.vn/vi/trang-chu/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1155
524,"Công ty TNHH Tư vấn Dịch vụ Quang Việt
","36/7 Bình Giã, Phường 13 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1287
525,"Chi nhánh Công ty TNHH Capstone Việt Nam thuộc Công ty TNHH Capstone Việt Nam
","212 Huỳnh Văn Bánh, Phường 12 Quận Phú Nhuận Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1403
526,"Công ty TNHH Trường ngoại ngữ Dương Minh
","311 Hoàng Văn Thụ, Phường 2 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1491
527,"Công ty CP Trung tâm Anh ngữ AMA
","186 Nguyễn Thị Minh Khai, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1492
528,"Công ty TNHH Avenue To Success
","Phòng L01, Tầng lửng, Tòa nhà Itaxa, số 126 Nguyễn Thị Minh Khai, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1532
529,"Công ty TNHH HAT
","443 Nguyễn Kiệm, Phường 9 Quận Phú Nhuận Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1533
530,"Công ty TNHH Một thành viên A.E&T
","121/15 Lê Thị Riêng, Phường Bến Thành Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1639
531,"Công ty TNHH Dịch vụ Tư vấn Giáo dục và Đào tạo S.E.T
","115 Đặng Dung, Phường Tân Định Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1741
532,"Công ty TNHH Du học Đại Đăng Quang
","185-187 Hoàng Văn Thụ, Phường 8 Quận Phú Nhuận Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1775
533,"Công ty TNHH Một thành viên OEC Toàn Cầu
","lầu 4, số 132-134 Điện Biên Phủ, Phường Đa Kao Quận 1 Thành Phố Hồ Chí Minh","http://www.oecglobal.com.vn/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1802
534,"Công ty TNHH Hợp Điểm
","34/1A Trần Khánh Dư, Phường Tân Định Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1803
535,"Công ty TNHH Liên kết Học thuật Quốc tế
","219 Bis Nguyễn Thị Minh Khai, Phường Nguyễn Cư Trinh Quận 2 Thành Phố Hồ Chí Minh","http://studylink.org/vi/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1857
536,"Công ty TNHH Tư vấn A.N.T
","554 Điện Biên Phủ, Phường 11 Quận 10 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1858
537,"Công ty TNHH Ê Su Hai
","40/12-40/14 Ấp Bắc, Phường 13 Quận Tân Bình Thành Phố Hồ Chí Minh","http://www.esuhai.com/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1981
538,"Công ty TNHH Hoàn Cầu Việt
","11 đường C27, Phường 12 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,1982
539,"Công ty TNHH Giáo dục IDP (Việt Nam)
","tầng 2 và Phòng C tầng trệt, tòa nhà Star Building, số 33 Ter- 33 Bis, đường Mạc Đĩnh Chi Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,2022
540,"Công ty TNHH Hằng Lương
","1086 đường 3 tháng 2, Phường 12 Quận 11 Thành Phố Hồ Chí Minh",www.duhochangluong.edu.vn,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,2024
541,"Công ty TNHH Tư vấn Du học Q&N
","155 Hai Bà Trưng, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,2025
542,"Công ty TNHH Giáo dục YCC
","65 Nguyễn Bỉnh Khiêm, Phường Đa Kao Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,5
543,"Công ty TNHH Một thành viên Dịch vụ Lữ hành SaiGonTourist
","45 Lê Thánh Tôn, Phường Bến Nghé Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,82
544,"Công ty TNHH Tư vấn và Tiếp thị Quốc tế
","753 Lê Hồng Phong (nối dài), Phường 12 Quận 10 Thành Phố Hồ Chí Minh","http://cmivnedu.com
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,94
545,"Công ty TNHH ILA Việt Nam
","146 Nguyễn Đình Chiểu, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,124
